baseline,app,bug_name,verdict,activated,candidate_failures,aligned_failures,detecting_test
A (Claude Code baseline),prestashop,buyer_sort_products_by_price_high_to_low,not_activated,False,0,0,
A (Claude Code baseline),prestashop,buyer_sort_products_by_price_low_to_high,not_activated,False,0,0,
A (Claude Code baseline),prestashop,buyer_view_new_product_details,not_activated,False,0,0,
A (Claude Code baseline),prestashop,buyer_view_popular_product_details,not_activated,False,0,0,
A (Claude Code baseline),prestashop,buyer_view_store_information,oracle_miss,True,0,0,
A (Claude Code baseline),prestashop,seller_backorder_order,not_activated,False,0,0,
A (Claude Code baseline),prestashop,seller_cancel_order,not_activated,False,0,0,
A (Claude Code baseline),prestashop,seller_delete_product,not_activated,False,0,0,
A (Claude Code baseline),prestashop,seller_deliver_order,not_activated,False,0,0,
A (Claude Code baseline),prestashop,seller_refund_order,not_activated,False,0,0,
A (Claude Code baseline),prestashop,seller_ship_order,not_activated,False,0,0,
A (Claude Code baseline),prestashop,seller_view_carts,not_activated,False,0,0,
A (Claude Code baseline),prestashop,seller_view_catalog_product_details,not_activated,False,0,0,
A (Claude Code baseline),prestashop,seller_view_shop_design,not_activated,False,0,0,
B (Playwright test agents),bookstack,comment,not_activated,False,0,0,
B (Playwright test agents),bookstack,count_recently_created_books,not_activated,False,0,0,
B (Playwright test agents),bookstack,count_recently_created_chapters,not_activated,False,0,0,
B (Playwright test agents),bookstack,count_recently_created_pages,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,count_recently_created_shelves,not_activated,False,0,0,
B (Playwright test agents),bookstack,create_book,not_activated,False,0,0,
B (Playwright test agents),bookstack,create_page,not_activated,False,0,0,
B (Playwright test agents),bookstack,create_sort_rule,not_activated,False,0,0,
B (Playwright test agents),bookstack,delete_book,not_activated,False,0,0,
B (Playwright test agents),bookstack,favourite_book,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,favourite_chapter,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,favourite_page,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,favourite_page_template,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,recent_activity_all,not_activated,False,0,0,
B (Playwright test agents),bookstack,recent_activity_chapter,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,recent_activity_page,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,recent_activity_page_template,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,recent_activity_shelf,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,recently_viewed_book,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,recently_viewed_chapter,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,recently_viewed_page,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,recently_viewed_page_template,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,recently_viewed_shelf,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,search,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,settings,not_activated,False,0,0,
B (Playwright test agents),bookstack,unfavourite_shelf,oracle_miss,True,0,0,
B (Playwright test agents),bookstack,update_book,not_activated,False,0,0,
B (Playwright test agents),indico,administration,not_activated,False,0,0,
B (Playwright test agents),indico,clone_event,not_activated,False,0,0,
B (Playwright test agents),indico,create_announcement,not_activated,False,0,0,
B (Playwright test agents),indico,create_conference,not_activated,False,0,0,
B (Playwright test agents),indico,create_lecture,not_activated,False,0,0,
B (Playwright test agents),indico,create_meeting,not_activated,False,0,0,
B (Playwright test agents),indico,create_news,not_activated,False,0,0,
B (Playwright test agents),indico,delete_conference,oracle_miss,True,0,0,
B (Playwright test agents),indico,delete_lecture,oracle_miss,True,0,0,
B (Playwright test agents),indico,delete_meeting,oracle_miss,True,0,0,
B (Playwright test agents),indico,edit_conference,not_activated,False,0,0,
B (Playwright test agents),indico,edit_lecture,not_activated,False,0,0,
B (Playwright test agents),indico,edit_meeting,not_activated,False,0,0,
B (Playwright test agents),indico,favourite_conference,not_activated,False,0,0,
B (Playwright test agents),indico,favourite_lecture,not_activated,False,0,0,
B (Playwright test agents),indico,favourite_meeting,not_activated,False,0,0,
B (Playwright test agents),indico,fill_out_survey,not_activated,False,0,0,
B (Playwright test agents),indico,profile_settings,not_activated,False,0,0,
B (Playwright test agents),indico,register_conference,oracle_miss,True,0,0,
B (Playwright test agents),indico,room_booking,not_activated,False,0,0,
B (Playwright test agents),indico,search_events,not_activated,False,0,0,
B (Playwright test agents),indico,view_conference_details,not_activated,False,0,0,
B (Playwright test agents),indico,view_conference_timetable,not_activated,False,0,0,
B (Playwright test agents),indico,view_lecture_details,not_activated,False,0,0,
B (Playwright test agents),indico,view_meeting_details,not_activated,False,0,0,
B (Playwright test agents),prestashop,buyer_add_product_to_cart,incidental_failure,True,1,0,
B (Playwright test agents),prestashop,buyer_add_product_to_wishlist,not_activated,False,0,0,
B (Playwright test agents),prestashop,buyer_contact_us,not_activated,False,0,0,
B (Playwright test agents),prestashop,buyer_edit_quantity_in_cart,not_activated,False,0,0,
B (Playwright test agents),prestashop,buyer_remove_product_from_cart,not_activated,False,0,0,
B (Playwright test agents),prestashop,buyer_remove_product_from_wishlist,not_activated,False,0,0,
B (Playwright test agents),prestashop,buyer_search_product,oracle_miss,True,0,0,
B (Playwright test agents),prestashop,buyer_sort_products_by_name_a_to_z,not_activated,False,0,0,
B (Playwright test agents),prestashop,buyer_sort_products_by_name_z_to_a,not_activated,False,0,0,
B (Playwright test agents),prestashop,buyer_sort_products_by_price_high_to_low,not_activated,False,0,0,
B (Playwright test agents),prestashop,buyer_sort_products_by_price_low_to_high,not_activated,False,0,0,
