baseline,app,faults_evaluated,observed_armed,observed_caught,value_difference_faults,cf_armed_if_values_matched,cf_activation_rate,cf_caught_OPTIMISTIC,cf_detection_OPTIMISTIC,cf_caught_EVIDENCE_LED,cf_detection_EVIDENCE_LED
A (Claude Code baseline),bookstack,27,15,0,3,18,66.7%,3,11.1%,0.1,0.2%
A (Claude Code baseline),indico,25,4,0,18,22,88.0%,18,72.0%,0.4,1.5%
A (Claude Code baseline),invoiceninja,25,0,0,4,4,16.0%,4,16.0%,0.1,0.3%
A (Claude Code baseline),prestashop,23,4,1,16,20,87.0%,17,73.9%,1.3,5.8%
B (Playwright test agents),bookstack,27,16,0,7,23,85.2%,7,25.9%,0.1,0.5%
B (Playwright test agents),indico,25,4,0,15,19,76.0%,15,60.0%,0.3,1.2%
B (Playwright test agents),prestashop,23,6,0,15,21,91.3%,15,65.2%,0.3,1.3%
TOTAL,,175,49,1,78,127,,79,,2.6,
NOTE,OPTIMISTIC assumes every armed fault is detected. EVIDENCE_LED applies the measured conditional detection rate 1/49 = 2.0%. Neither column is an observed result; no verdict was relabelled.,,,,,,,,,,
